"","sI","tI","zetaI","av_accuracy","av_search","av_accuracy_s0","av_accuracy_s1"
"55",1.06998872076887,"3",1.00780633912338,0.825,0.31305150755553,0.925952155185568,0.855967852088067
"56",0.964847341022481,"3",0.918512117543255,0.85,0.261272406933791,0.936586364736576,0.856113045861354
"57",0.869301115868934,"3",0.83495413533474,0.875,0.211142986118613,0.947004370791824,0.856142796121775
"58",0.780304146072379,"3",0.755177265777724,0.9,0.164269192524366,0.957555932495954,0.856244226109705
"59",0.69467046757101,"3",0.676763814454817,0.925,0.119797509254171,0.96809074364238,0.856357718033907
"60",0.607956831911769,"3",0.59584487171251,0.95,0.0771001135192074,0.9785158891304,0.856336796879734
"61",3.94715387554275,"Inf",3.94715387554275,0.6,0.985702833790279,0.808749593207491,0.848252964484773
"62",3.13834420066129,"Inf",3.13834420066129,0.625,0.944242207520992,0.820048827332288,0.850514694096505
"63",2.59524236883453,"Inf",2.59524236883453,0.65,0.878232094500536,0.832113486760856,0.852150788098357
"64",2.20379754343486,"Inf",2.20379754343486,0.675,0.799263340668093,0.844594257717787,0.853299894557937
"65",1.90693940178649,"Inf",1.90693940178649,0.7,0.715938622188595,0.857132487023676,0.854101030676341
"66",1.6729118528206,"Inf",1.6729118528206,0.725,0.633843783832815,0.869720251093906,0.854679795422958
"67",1.4826022185056,"Inf",1.4826022185056,0.75,0.555688070594388,0.882310254918353,0.855120503817472
"68",1.32377562678085,"Inf",1.32377562678085,0.775,0.4816094051972,0.89466053942008,0.855429938612393
"69",1.18818294989389,"Inf",1.18818294989389,0.8,0.413229347468446,0.907053823047115,0.855718758464737
"70",1.06998872076887,"Inf",1.06998872076887,0.825,0.348626305822666,0.91909965069441,0.855902520878238
"71",0.964847341022481,"Inf",0.964847341022481,0.85,0.287851960717859,0.930877913091292,0.855996239876043
"72",0.869301115868934,"Inf",0.869301115868934,0.875,0.231804783047201,0.942657038539766,0.856137468592434
"73",0.780304146072379,"Inf",0.780304146072379,0.9,0.179696109789699,0.954358576024598,0.8563220771005
"74",0.69467046757101,"Inf",0.69467046757101,0.925,0.130200400623963,0.9657918922926,0.8564244461314
"75",0.607956831911769,"Inf",0.607956831911769,0.95,0.0831663065403287,0.97700992872254,0.856353151566618
