"","sI","tI","rho","av_accuracy","av_search","av_accuracy_s1","av_accuracy_s0"
"36",1.6729118528206,2,0.2,0.725,0.560799555380372,0.865506537438078,0.866984144916925
"37",1.4826022185056,2,0.2,0.75,0.49648871179788,0.868716899378107,0.868738254147765
"38",1.32377562678085,2,0.2,0.775,0.427195467725777,0.872536041211057,0.871615782552762
"39",1.18818294989389,2,0.2,0.8,0.351159879187994,0.876865233140844,0.875373934075101
"40",1.06998872076887,2,0.2,0.825,0.261904364391831,0.881190761273395,0.879240704474625
"41",0.964847341022481,2,0.2,0.85,0.162270735042223,0.885019871259963,0.88403196108595
"42",0.869301115868934,2,0.2,0.875,0.0706700411670707,0.887977565697185,0.892097574416506
"43",0.780304146072379,2,0.2,0.9,0.01438603637273,0.889581900360428,0.906293609424946
"44",0.69467046757101,2,0.2,0.925,0.000394315484162507,0.889516434044004,0.927241331675699
"45",0.607956831911769,2,0.2,0.95,0,NA,0.950945371789819
"46",3.94715387554275,3,0.2,0.6,0.908401841220033,0.853577246552017,0.827658729152806
"47",3.13834420066129,3,0.2,0.625,0.886162350421938,0.855694001673456,0.828724108092611
"48",2.59524236883453,3,0.2,0.65,0.85270530661868,0.858377081650174,0.829173376426031
"49",2.20379754343486,3,0.2,0.675,0.806534840305891,0.861554337816572,0.829393432693357
"50",1.90693940178649,3,0.2,0.7,0.746261284322031,0.8652112124881,0.82991660171201
"51",1.6729118528206,3,0.2,0.725,0.670788893416564,0.869337186494934,0.831242832999969
"52",1.4826022185056,3,0.2,0.75,0.576281775706378,0.87381375095155,0.833311636158888
"53",1.32377562678085,3,0.2,0.775,0.461233229353482,0.878528046846085,0.836398963206511
"54",1.18818294989389,3,0.2,0.8,0.33017206885206,0.883399778944391,0.841171229458051
"55",1.06998872076887,3,0.2,0.825,0.182822732747813,0.88763144667053,0.847514582338597
"56",0.964847341022481,3,0.2,0.85,0.0647610015253716,0.891314655741784,0.858841405299426
"57",0.869301115868934,3,0.2,0.875,0.00867807852935577,0.894013873397446,0.876933080297329
"58",0.780304146072379,3,0.2,0.9,0.000178644611184922,0.89881853404356,0.900351971143427
"59",0.69467046757101,3,0.2,0.925,0,NA,0.925105605624357
"60",0.607956831911769,3,0.2,0.95,0,NA,0.950000621540893
"61",3.94715387554275,4,0.2,0.6,0.973905712569067,0.852220334054022,0.81087957016507
"62",3.13834420066129,4,0.2,0.625,0.959830094122752,0.85519888638236,0.810840142568375
"63",2.59524236883453,4,0.2,0.65,0.936528857271203,0.858815884156745,0.810067489243024
"64",2.20379754343486,4,0.2,0.675,0.9016888637548,0.863052666578663,0.810064050863833
"65",1.90693940178649,4,0.2,0.7,0.848975127605118,0.867788571406084,0.810644803792656
"66",1.6729118528206,4,0.2,0.725,0.766477869377041,0.872806812973159,0.811410409429401
"67",1.4826022185056,4,0.2,0.75,0.643684354274627,0.877947777495747,0.812981133154306
"68",1.32377562678085,4,0.2,0.775,0.473556984071025,0.883005965411657,0.815994842441561
"69",1.18818294989389,4,0.2,0.8,0.272976143304502,0.887840456849559,0.821883000002021
"70",1.06998872076887,4,0.2,0.825,0.0888870730012399,0.891830666082881,0.832346399466362
"71",0.964847341022481,4,0.2,0.85,0.00845954722012147,0.895256812506559,0.850842320172212
"72",0.869301115868934,4,0.2,0.875,2.95568319406604e-05,0.904817304873754,0.874945467503862
