"","ID","mean_accuracy","mean_search","mean_confidence","mean_final_accuracy","AccStronger","MaxPoints","DotDiff","dprime","meta_dprime","mratio"
"104","dpvifv",0.78,0.34,2.14,0.9,0.92,8560,3.11785714285714,1.71739779986375,0.991884430689722,0.577550775230069
"105","dqbybx",0.62,0.41,1.93,0.74,0.96,7015,2.525,1.06270998094926,0.933506534357033,0.878420783743073
"106","dqyugk",0.83,0.36,1.62,0.94,0.98,9025,3.28571428571429,1.89636661048565,1.16782190963295,0.615820750679574
"107","dqzxqz",0.77,0.77,2.56,0.93,0.94,8315,3.30357142857143,1.45442135887831,1.03850386387209,0.71403232463047
"108","drimwq",0.76,0.66,2.02,0.91,0.92,8365,2.97142857142857,1.43966873307508,0.847466980026537,0.588654153943024
"109","dsawqr",0.65,0,2.25,0.64,0.92,6400,3.30357142857143,0.765684863358577,0.402899578963626,0.526195042169646
"110","dsnkly",0.68,0.26,1.5,0.75,0.9,7340,2.97142857142857,1.05330918594295,1.29042894313968,1.22511885433189
"111","dtgeiu",0.757575757575758,0.101010101010101,1.18181818181818,0.797979797979798,0.9,7950,2.83214285714286,1.37144698459545,0.360081241804472,0.262555713672511
"112","dujbjm",0.68,0.02,1.51,0.68,0.82,6790,2.475,1.31652647791209,0.615628343824199,0.46761561894337
"113","dxlazu",0.72,0.25,1.57,0.8,0.901960784313726,7875,2.84285714285714,1.33538471834893,0.959437049910692,0.718472389812083
"114","dynaku",0.72,0.61,1.4,0.84,0.92,7720,2.55357142857143,1.14390021778728,-0.0556879059890316,-0.048682485695083
"115","dyooft",0.783505154639175,0.597938144329897,1.68041237113402,0.938144329896907,0.94,8665,3.07142857142857,1.52045910808772,1.22237101743823,0.803948630342056
"116","dzshew",0.76,0.49,1.73,0.93,0.92,8710,2.8,1.51548431050883,1.12443413112647,0.741963558005389
"117","dzwutt",0.61,0.02,2.19,0.61,0.78,6090,2.5,0.673373383530543,0.438634975929882,0.651399337511811
"118","eanonx",0.63,0.51,2.39,0.78,0.68,7530,2.21071428571428,0.838008087042061,0.00461569959081003,0.00550794158455223
"119","ebljup",0.66,0.17,1.52,0.75,0.92,7415,3.47142857142857,0.807087636406112,0.213341565342249,0.264335068112602
"120","ecwama",0.81,0.1,1.86,0.82,0.96,8150,2.91428571428571,1.72297303573438,1.29224181011716,0.750006984042194
"121","eebzpd",0.78,0.68,1.34,0.96,0.96,8960,3.05,1.8790093571883,1.10888046163407,0.590141000305271
"122","efpoli",0.79,0.2,2.34,0.87,0.96,8525,3.16071428571429,1.70468200939893,1.40331069276413,0.823209657300802
"123","efzxwg",0.72,0,1.98,0.72,0.92,7200,3.17142857142857,1.18289443118807,0.605930840767787,0.512244224667795
"124","egwsbn",0.73,0.49,1.77,0.86,0.98,8205,3.03928571428571,1.18165105472974,0.965267513078346,0.816880338078414
"125","eifhma",0.83,0.42,2.23,0.9,0.94,8790,3.11785714285714,1.93118503453428,1.05592198453343,0.546774113122762
"126","eiswyd",0.81,0.46,2.02,0.94,0.98,8960,2.74642857142857,1.61825887254618,1.32394049450301,0.818126516692547
"127","eitrhl",0.76,0,1.57,0.76,0.755102040816326,7600,2.93928571428571,1.37360606660288,1.0838012899072,0.789019003525217
"128","eiwwxk",0.71,0.72,1.36,0.8,0.84,7160,2.13928571428571,1.06848052902164,-0.0140788546274509,-0.0131765195949263
"129","elkjmj",0.73,0.8,1.76,0.95,0.9,8530,2.93571428571428,1.208096970339,1.22710416404613,1.01573316892086
"130","ellvss",0.77,0.54,1.9,0.89,0.92,8345,2.68214285714285,1.52234450880436,0.944185036429574,0.620217717454201
"131","eoxjqn",0.77,0.74,1.68,0.93,0.88,8360,2.79642857142857,1.41521938785762,1.15717601490659,0.817665462213838
"132","eqoewu",0.85,0.11,2.27,0.85,0.92,8445,3.40357142857143,2.01262157099227,1.6604651471062,0.825026011366631
"133","esqflm",0.65,0.41,2.13,0.82,0.9,7785,2.82142857142857,0.863695653367037,0.396415900549445,0.458976375536979
"134","eswilo",0.64,0.01,2.45,0.64,0.68,6395,2.75357142857143,0.6004727704682,0.256601075159328,0.427331742219137
"135","euqrbq",0.69,0.06,2.01,0.72,0.84,7155,2.52142857142857,1.27573200019003,0.398379259716632,0.312275038689389
"136","evepkm",0.79,0.96,1.93,1,0.94,8830,3.5,1.62539869244107,0.991417526786162,0.609953441821231
"137","eyfpac",0.82,0.45,1.91,0.96,1,9090,3.23928571428571,1.93153560622829,1.88792727826263,0.97742297484704
"138","eynyzb",0.73,0.12,2.13,0.77,0.94,7640,3.11071428571428,1.25154121839182,0.0122212496331089,0.0097649597580276
"139","eyqhub",0.67,0.42,2.26,0.79,0.88,7495,3.20714285714286,0.931511213606599,0.775261632867005,0.83226226538419
"140","ezjeew",0.72,0.03,2.34,0.7,0.82,6970,2.99285714285714,1.26211471132568,0.307315012498699,0.243492140406086
"141","eznslb",0.72,0,2.22,0.72,0.86,7200,2.65357142857143,1.20105098040455,1.16746086220574,0.972032729045772
"142","fcpdxx",0.71,0.42,2.36,0.81,0.86,7680,2.63214285714286,1.14698261823615,0.548139214588303,0.477896705558835
"143","fcvhfj",0.67,0.13,1.74,0.69,0.92,6805,3.01785714285714,1.01431105761354,1.26163642551232,1.24383581943855
"144","fecscw",0.82,0.42,2.07,0.93,1,8835,3.11785714285714,1.74536680855847,0.547217429613437,0.313525745379216
"145","feghua",0.81,0.29,1.84,0.89,0.98,8560,3.29285714285714,1.72974543224557,1.11660155494857,0.645529413827669
"146","fenvhz",0.65,0.81,2.17,0.95,0.96,8465,3.23214285714285,0.907937472612254,1.11424516919315,1.22722676704522
"147","feuuwp",0.66,0.05,2.07,0.68,0.96,6760,2.98928571428571,1.66817357210818,1.56002151394,0.935167383073032
"148","ffuzlq",0.73,0.67,1.82,0.67,0.583333333333333,5990,2.09285714285714,1.28872245720874,0.41090022047488,0.318843066772387
"149","ffyxau",0.74,0,2.38,0.76,1,7600,3.5,1.64186112052914,0.605106756685889,0.368549293920107
"150","fgeabe",0.64,0.19,2.91,0.65,0.72,6315,2.45714285714286,0.766862802307108,1.64092466908457,2.13978910458018
"151","fhhbde",0.79,0.21,2.24,0.82,0.9,8095,2.69285714285714,1.8751602095774,1.11794972387431,0.596188911307082
"152","firqwt",0.64,0.97,1.98,0.95,0.94,8265,3.13571428571428,0.733666182728856,0.329802122334155,0.449526133407789
"153","fjhhox",0.75,0.36,2.54,0.9,0.96,8595,2.92857142857143,1.5302278268596,1.566666296066,1.02381244711854
"154","fkoegk",0.72,0.43,1.85,0.71,0.88,6645,2.26785714285714,1.13138734751153,0.655734828422772,0.579584728311708
