"ID","mean_accuracy","mean_search","mean_confidence","mean_final_accuracy","AccStronger","MaxPoints","DotDiff","dprime","meta_dprime","mratio"
"auicuy",0.777777777777778,0.333333333333333,2.32323232323232,0.888888888888889,0.98,8525,3.09642857142857,1.43142677841435,2.21901495590561,1.55021199083875
"auossx",0.6,0.315789473684211,2.31578947368421,0.715789473684211,0.823529411764706,6965,2.72857142857143,0.492188571090625,0.653050411554722,1.3268296947807
"avllga",0.62,0.06,1.6,0.64,0.9,6370,2.65,0.441411801123714,-0.231621302058033,-0.524728386210763
"avsysn",0.71,0.41,1.98,0.79,0.92,7500,2.37857142857143,1.12899393478089,0.753403326966128,0.667322740854533
"avvojt",0.74,0.29,2.1,0.85,0.92,8280,3.06428571428571,1.26052644959789,0.774419694654506,0.614362114259123
"awwqym",0.8,0.47,1.73,0.94,0.96,8895,2.83571428571428,1.82163921170725,1.37739727340783,0.756130667673169
"axjjyt",0.76,0.4,2.45,0.92,0.98,8745,3.05357142857143,1.37866115973955,1.7535426554036,1.2719170646215
"ayaruh",0.72,0,1.39,0.72,0.88,7200,3.325,1.20123305076877,0.591864578252448,0.49271419719401
"azfqqa",0.65,0.22,2.1,0.73,0.88,7130,3.06071428571428,0.747419078959159,0.853469380320232,1.14188867309724
"bcvlam",0.68,0.62,1.92,0.92,1,8545,3.08928571428571,1.2815515655446,0.893100297381604,0.69688986490534
"bdfixg",0.7,0.38,1.16,0.81,0.86,7625,2.87857142857143,1.10158151905984,0.624743082194951,0.567132864327779
"beauof",0.66,0.09,1.09,0.67,0.88,6655,2.69642857142857,1.06089126806266,0.646595431889809,0.60948322543043
"bfyadm",0.76,0,2.3,0.78,0.98,7800,3.51428571428571,1.46677455485439,0.903304403682405,0.61584406457888
"bgdumn",0.67,0.52,1.48,0.72,0.66,6850,2.09285714285714,0.642669558526399,0.572178887666714,0.890315839727472
"bgsmli",0.81,0.27,2.19,0.89,0.94,8540,2.65714285714286,1.73208232682285,1.39337003671494,0.804447926716506
"bhoozk",0.84,0.02,2.92,0.86,1,8590,3.16071428571428,2.4409014706194,3.26045224983817,1.33575741957778
"bijxjt",0.74,0.37,2.75,0.72,0.94,6805,2.98571428571429,1.04345318922209,-0.585103697412529,-0.560737849532793
"bjbuho",0.83,0.06,2.2,0.83,0.94,8270,2.85714285714286,1.96904208749357,1.51969405045765,0.77179358435761
"bjbvlv",0.78,0.38,2.06,0.86,0.96,8395,2.89642857142857,1.5190693882373,1.26517666623888,0.832862985743509
"bjxyas",0.73,0.67,2.08,0.91,0.9,8255,2.86785714285714,1.37918060934391,0.589323973856113,0.427300072132295
"bnaigm",0.78,0.53,2.85,0.92,0.9,8650,2.98571428571429,1.54274933247763,0.573867339186083,0.37197704585259
"bpbadb",0.777777777777778,0.484848484848485,1.98989898989899,0.898989898989899,0.78,8475,2.88214285714286,1.49177773352171,0.886307231764674,0.594128208142863
"bphpor",0.63,0.23,1.36,0.72,0.96,6920,2.65357142857143,0.705832469039648,0.750137058757123,1.06276927126596
"bqnunf",0.79,0.34,2.07,0.94,1,9005,3.35,1.68173007434093,0.255924331219242,0.152179196366895
"brhzqs",0.84,0.62,1.85,1,0.98,9285,3.575,2.86225196101984,2.44137286486465,0.852955259744068
"btejha",0.8,0.02,2.5,0.82,1,8175,3.25,1.72131337067168,2.02203922945936,1.17470721131407
"btriuk",0.73469387755102,0.142857142857143,1.89795918367347,0.76530612244898,0.9,7585,3.26785714285714,1.22348388133928,0.511588580196749,0.418140841902014
"btxmie",0.85,0.82,1.29,0.96,0.92,8635,3.4,2.0633844898205,-0.192715188269175,-0.0933976140752807
"buattp",0.68,0,2.31,0.69,0.94,6900,2.79642857142857,0.925790827108563,0.575141104578671,0.62124303648045
"bvelca",0.71,0,2.09,0.71,0.86,7100,3.08928571428571,1.23441569150665,0.912534682066012,0.739244233806058
