"","id","sI","sI_subj","tI","sI_by_tI","av_correct","av_confidence","av_search","av_search_when_correct","av_search_when_incorrect","da","meta_da","M_ratio","search_slope","av_search_empirical","av_search_correct_empirical","av_search_incorrect_empirical","sigma_ratio","sigma_difference","expected_accuracy","search_ratio","search_ratio_empirical","search_ratio_empirical2"
"19",19,1.46235116259095,1.96564095497872,3.41650896697503,0.428024974243141,0.756,0.691623975239285,0.843980850828842,NA,NA,1.32277569565627,0.605433145468568,0.457699024450396,NA,0.847,0.821428571428571,0.926229508196721,0.743956396964052,-0.503289792387773,0.247041172848549,NA,0.123731920623554,0.124174543374093
"20",20,2.18814668547026,1.90893230967529,3.2390097748958,0.67556038343251,0.695,0.700940046340327,0.812226300678571,NA,NA,0.976815279695359,0.706261975824932,0.723025110791874,NA,0.803,0.772661870503597,0.872131147540984,1.14626730051128,0.279214375794967,0.323832736443728,NA,0.123872076011689,0.122464979223506
"21",21,2.63091615919804,1.82619790312006,1.83787810081993,1.43149654921309,0.657,0.697742761281413,0.587293746871807,NA,NA,0.77646647004121,1.89656316805606,2.44255642868314,NA,0.583,0.449010654490107,0.839650145772595,1.44065227251828,0.804718256077976,0.35193717739312,NA,0.670050585390203,0.665151797313034
"22",22,3.70335961804082,1.4076983658628,1.93600190997146,1.91289047751788,0.621,0.739289859981953,0.517572213274121,NA,NA,0.590673846720185,1.49710757100227,2.53457568726838,NA,0.536,0.400966183574879,0.757255936675462,2.63079059253648,2.29566125217802,0.393570477119647,NA,0.66471968862049,0.6883865554658
"23",23,1.00971077287691,3.71620872313582,0.966687454309522,1.04450592420082,0.843,0.731334361920086,0.288013933306332,NA,NA,1.90675073915611,2.56492554369381,1.34518135539258,NA,0.274,0.252669039145907,0.388535031847134,0.271704537635574,-2.70649795025892,0.160993568750564,NA,0.495861287230753,0.471734096824819
"24",24,2.21451233939621,2.57739838014525,2.36690361525584,0.93561576615229,0.678,0.657557095639696,0.781104988535157,NA,NA,0.884399062372999,1.05742583093037,1.19564331976235,NA,0.776,0.71976401179941,0.894409937888199,0.859204520517863,-0.362886040749034,0.325790586741641,NA,0.225059183104109,0.223588286660812
"25",25,2.2991617244226,1.18229557655112,1.6862047794194,1.36351275508439,0.663,0.785706804996237,0.388772024010531,NA,NA,0.80812395360222,1.65326871557084,2.04581080439626,NA,0.381,0.26395173453997,0.611275964391691,1.94465899223737,1.11686614787148,0.331802579318173,NA,0.911612151841789,0.893387919914509
"26",26,2.00791600919095,3.00100915469848,2.42011181901349,0.829679022851696,0.726,0.635035924970836,0.815517412716794,NA,NA,1.14771979061658,0.89302615000465,0.778087262505854,NA,0.822,0.792011019283747,0.901459854014598,0.669080267898314,-0.993093145507529,0.309231871657539,NA,0.133149433979139,0.134207845257696
"27",27,1.54689334576244,1.81809375547549,2.32069761974823,0.666563938618709,0.72,0.71183764328389,0.657157061299598,NA,NA,1.11355021731435,1.16184353896805,1.04336878651972,NA,0.637,0.573611111111111,0.8,0.850832549808679,-0.271200409713041,0.258991724730004,NA,0.355398569684284,0.344497384599628
"28",28,1.14269103428389,1.289735381983,1.33014599483582,0.859071890394207,0.817,0.793932610074139,0.343066860871789,NA,NA,1.71593311348399,2.27301076528222,1.32464998048039,NA,0.34,0.258261933904529,0.704918032786885,0.885988746410117,-0.147044347699108,0.190752350643743,NA,1.31369440847752,1.30195058114133
